Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2015-01-02,24.261043548583984,24.729266505118662,23.82166783410134,24.718170500399545,212818400
2015-01-05,23.57757568359375,24.11015184940222,23.39117495671791,24.030265339880305,257142000
2015-01-06,23.57979393005371,23.83942422525078,23.218085117057225,23.641927502270494,263188400
2015-01-07,23.910436630249023,24.01029392504949,23.67743401836389,23.788387320592424,160423600
2015-01-08,24.829130172729492,24.886826364711517,24.12124755318299,24.238859477265255,237458000
2015-01-09,24.85576057434082,25.13092430460362,24.456327987658426,25.00221806078228,214798000
2015-01-12,24.2432918548584,24.99333542358363,24.143434579343243,24.986678497617646,198603200
2015-01-13,24.458539962768555,25.0310592622604,24.16784292699338,24.727046682372265,268367600
2015-01-14,24.365346908569336,24.518461321069434,24.076867632996397,24.196697407787628,195826400
2015-01-15,23.704059600830078,24.42303640937501,23.668555430204687,24.409722557017083,240056000
2015-01-16,23.519882202148438,23.872714608651194,23.34457576901996,23.750665290329735,314053200
2015-01-20,24.125682830810547,24.181159473930325,23.633049969024885,23.930403963500748,199599600
2015-01-21,24.309864044189453,24.644941726946904,24.02582222854224,24.176718755318422,194303600
2015-01-22,24.942304611206055,24.957838007000497,24.347594797483953,24.467424576332416,215185600
2015-01-23,25.071002960205078,25.24187026011724,24.749237444378423,24.920106437303215,185859200
2015-01-26,25.097627639770508,25.377230335323713,25.03105669807565,25.239647680334453,222460000
2015-01-27,24.218881607055664,24.960050391214992,24.194471750232253,24.94673484648506,382274800
2015-01-28,25.58804702758789,26.211605664482956,25.58804702758789,26.102870222038018,585908400
2015-01-29,26.38469123840332,26.449044346198512,25.643522421911083,25.812171887408386,337745600
2015-01-30,25.998573303222656,26.62878711906101,25.92978111858312,26.27373696274273,334982000
2015-02-02,26.324779510498047,26.44460927839695,25.758918692823972,26.19607496839598,250956400
2015-02-03,26.3292179107666,26.42685566159745,26.098434848144024,26.295931582818667,207662800
2015-02-04,26.531145095825195,26.74195732236966,26.253761923802895,26.295924707714292,280598800
2015-02-05,26.720518112182617,26.785125203713097,26.566797732344764,26.738339410088408,168984800
2015-02-06,26.49551010131836,26.789582792466167,26.38857380467608,26.738342094145022,174826400
2015-02-09,26.671504974365234,26.698237770325253,26.384115519933175,26.410850015587748,155559200
2015-02-10,27.18390464782715,27.21286744437979,26.76953099407376,26.771757594043475,248034000
2015-02-11,27.821062088012695,27.829973586883128,27.290840652931514,27.350991145688674,294247200
2015-02-12,28.173053741455078,28.40029267386532,27.974777600256637,28.08394046795487,297898000
2015-02-13,28.31117820739746,28.355733992422923,27.99259941535206,28.355733992422923,217088800
2015-02-17,28.478273391723633,28.712195581677314,28.275540600471146,28.40252649509592,252609600
2015-02-18,28.676544189453125,28.68991058646957,28.393609654845907,28.43371054558967,179566800
2015-02-19,28.616392135620117,28.745606306357125,28.589659341463797,28.623075334159196,149449600
2015-02-20,28.850317001342773,28.850317001342773,28.52728324375384,28.6542674273515,195793600
